Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
92	 0.002906	 0.002750	 0.000072	 0.000000	 0.000050	0.279625	 0.267118	 0.005727	 0.000000	 0.003676
93	 0.002718	 0.002617	 0.000043	 0.000000	 0.000029	0.282343	 0.269735	 0.005770	 0.000000	 0.003705
94	 0.003203	 0.003060	 0.000061	 0.000000	 0.000049	0.285546	 0.272795	 0.005831	 0.000000	 0.003754
95	 0.002828	 0.002696	 0.000062	 0.000000	 0.000037	0.288374	 0.275491	 0.005893	 0.000000	 0.003791
96	 0.002785	 0.002635	 0.000066	 0.000000	 0.000050	0.291159	 0.278126	 0.005959	 0.000000	 0.003841
97	 0.002801	 0.002703	 0.000042	 0.000000	 0.000028	0.293960	 0.280829	 0.006001	 0.000000	 0.003869
98	 0.002757	 0.002616	 0.000061	 0.000000	 0.000048	0.296717	 0.283445	 0.006062	 0.000000	 0.003917
99	 0.002725	 0.002627	 0.000044	 0.000000	 0.000027	0.299442	 0.286072	 0.006106	 0.000000	 0.003944
100	 0.002847	 0.002706	 0.000061	 0.000000	 0.000048	0.302289	 0.288778	 0.006167	 0.000000	 0.003992
101	 0.002964	 0.002874	 0.000032	 0.000000	 0.000030	0.305253	 0.291652	 0.006199	 0.000000	 0.004022
102	 0.002814	 0.002668	 0.000057	 0.000000	 0.000056	0.308067	 0.294320	 0.006256	 0.000000	 0.004078
103	 0.002921	 0.002778	 0.000067	 0.000000	 0.000044	0.310988	 0.297098	 0.006323	 0.000000	 0.004122
104	 0.003134	 0.002949	 0.000092	 0.000000	 0.000053	0.314122	 0.300047	 0.006415	 0.000000	 0.004175
105	 0.002747	 0.002646	 0.000039	 0.000000	 0.000032	0.316869	 0.302693	 0.006454	 0.000000	 0.004207
106	 0.002566	 0.002420	 0.000061	 0.000000	 0.000053	0.319435	 0.305113	 0.006515	 0.000000	 0.004260
107	 0.002778	 0.002692	 0.000032	 0.000000	 0.000029	0.322213	 0.307805	 0.006547	 0.000000	 0.004289
108	 0.002673	 0.002529	 0.000059	 0.000000	 0.000053	0.324886	 0.310334	 0.006606	 0.000000	 0.004342
109	 0.002802	 0.002688	 0.000054	 0.000000	 0.000031	0.327688	 0.313022	 0.006660	 0.000000	 0.004373
110	 0.002878	 0.002720	 0.000072	 0.000000	 0.000050	0.330566	 0.315742	 0.006732	 0.000000	 0.004423
