Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
90	 0.002779	 0.002598	 0.000079	 0.000000	 0.000066	0.262806	 0.249658	 0.005944	 0.000000	 0.003861
91	 0.002869	 0.002761	 0.000048	 0.000000	 0.000032	0.265675	 0.252419	 0.005992	 0.000000	 0.003893
92	 0.002770	 0.002597	 0.000073	 0.000000	 0.000065	0.268445	 0.255016	 0.006065	 0.000000	 0.003958
93	 0.002641	 0.002531	 0.000047	 0.000000	 0.000034	0.271086	 0.257547	 0.006112	 0.000000	 0.003992
94	 0.002820	 0.002652	 0.000074	 0.000000	 0.000061	0.273906	 0.260199	 0.006186	 0.000000	 0.004053
95	 0.002702	 0.002597	 0.000048	 0.000000	 0.000030	0.276608	 0.262796	 0.006234	 0.000000	 0.004083
96	 0.002828	 0.002657	 0.000074	 0.000000	 0.000061	0.279436	 0.265453	 0.006308	 0.000000	 0.004144
97	 0.002914	 0.002803	 0.000049	 0.000000	 0.000032	0.282350	 0.268256	 0.006357	 0.000000	 0.004176
98	 0.002995	 0.002815	 0.000061	 0.000000	 0.000062	0.285345	 0.271071	 0.006418	 0.000000	 0.004238
99	 0.002795	 0.002665	 0.000062	 0.000000	 0.000035	0.288140	 0.273736	 0.006480	 0.000000	 0.004273
100	 0.002839	 0.002661	 0.000079	 0.000000	 0.000063	0.290979	 0.276397	 0.006559	 0.000000	 0.004336
101	 0.002777	 0.002664	 0.000049	 0.000000	 0.000036	0.293756	 0.279061	 0.006608	 0.000000	 0.004372
102	 0.002940	 0.002780	 0.000061	 0.000000	 0.000065	0.296696	 0.281841	 0.006669	 0.000000	 0.004437
103	 0.003074	 0.002966	 0.000044	 0.000000	 0.000035	0.299770	 0.284807	 0.006713	 0.000000	 0.004472
104	 0.002728	 0.002540	 0.000085	 0.000000	 0.000068	0.302498	 0.287347	 0.006798	 0.000000	 0.004540
105	 0.002664	 0.002555	 0.000050	 0.000000	 0.000031	0.305162	 0.289902	 0.006848	 0.000000	 0.004571
106	 0.002850	 0.002669	 0.000078	 0.000000	 0.000068	0.308012	 0.292571	 0.006926	 0.000000	 0.004639
107	 0.002712	 0.002604	 0.000048	 0.000000	 0.000032	0.310724	 0.295175	 0.006974	 0.000000	 0.004671
108	 0.002761	 0.002594	 0.000070	 0.000000	 0.000062	0.313485	 0.297769	 0.007044	 0.000000	 0.004733
109	 0.002890	 0.002785	 0.000047	 0.000000	 0.000031	0.316375	 0.300554	 0.007091	 0.000000	 0.004764
110	 0.003018	 0.002836	 0.000079	 0.000000	 0.000069	0.319393	 0.303390	 0.007170	 0.000000	 0.004833
111	 0.002872	 0.002757	 0.000049	 0.000000	 0.000038	0.322265	 0.306147	 0.007219	 0.000000	 0.004871
112	 0.002747	 0.002570	 0.000073	 0.000000	 0.000070	0.325012	 0.308717	 0.007292	 0.000000	 0.004941
113	 0.002860	 0.002750	 0.000049	 0.000000	 0.000033	0.327872	 0.311467	 0.007341	 0.000000	 0.004974
114	 0.002846	 0.002669	 0.000070	 0.000000	 0.000070	0.330718	 0.314136	 0.007411	 0.000000	 0.005044
115	 0.002686	 0.002574	 0.000045	 0.000000	 0.000038	0.333404	 0.316710	 0.007456	 0.000000	 0.005082
116	 0.002856	 0.002689	 0.000062	 0.000000	 0.000070	0.336260	 0.319399	 0.007518	 0.000000	 0.005152
117	 0.002710	 0.002598	 0.000049	 0.000000	 0.000033	0.338970	 0.321997	 0.007567	 0.000000	 0.005185
118	 0.003238	 0.003025	 0.000087	 0.000000	 0.000082	0.342208	 0.325022	 0.007654	 0.000000	 0.005267
119	 0.002801	 0.002686	 0.000041	 0.000000	 0.000041	0.345009	 0.327708	 0.007695	 0.000000	 0.005308
120	 0.002706	 0.002507	 0.000088	 0.000000	 0.000072	0.347715	 0.330215	 0.007783	 0.000000	 0.005380
121	 0.002632	 0.002522	 0.000036	 0.000000	 0.000046	0.350347	 0.332737	 0.007819	 0.000000	 0.005426
122	 0.002752	 0.002551	 0.000084	 0.000000	 0.000080	0.353099	 0.335288	 0.007903	 0.000000	 0.005506
123	 0.002738	 0.002580	 0.000045	 0.000000	 0.000033	0.355837	 0.337868	 0.007948	 0.000000	 0.005539
124	 0.002682	 0.002499	 0.000080	 0.000000	 0.000068	0.358519	 0.340367	 0.008028	 0.000000	 0.005607
125	 0.002652	 0.002558	 0.000032	 0.000000	 0.000032	0.361171	 0.342925	 0.008060	 0.000000	 0.005639
126	 0.002799	 0.002619	 0.000075	 0.000000	 0.000071	0.363970	 0.345544	 0.008135	 0.000000	 0.005710
127	 0.002536	 0.002422	 0.000049	 0.000000	 0.000038	0.366506	 0.347966	 0.008184	 0.000000	 0.005748
128	 0.002722	 0.002563	 0.000060	 0.000000	 0.000067	0.369228	 0.350529	 0.008244	 0.000000	 0.005815
129	 0.002570	 0.002459	 0.000048	 0.000000	 0.000034	0.371798	 0.352988	 0.008292	 0.000000	 0.005849
130	 0.002954	 0.002775	 0.000077	 0.000000	 0.000067	0.374752	 0.355763	 0.008369	 0.000000	 0.005916
131	 0.002663	 0.002548	 0.000048	 0.000000	 0.000038	0.377415	 0.358311	 0.008417	 0.000000	 0.005954
132	 0.002664	 0.002482	 0.000074	 0.000000	 0.000073	0.380079	 0.360793	 0.008491	 0.000000	 0.006027
133	 0.002646	 0.002530	 0.000048	 0.000000	 0.000038	0.382725	 0.363323	 0.008539	 0.000000	 0.006065
134	 0.002669	 0.002494	 0.000072	 0.000000	 0.000070	0.385394	 0.365817	 0.008611	 0.000000	 0.006135
135	 0.002708	 0.002600	 0.000049	 0.000000	 0.000034	0.388102	 0.368417	 0.008660	 0.000000	 0.006169
